poczatek_produkcji,model,typ,pojemnosc_silnika,uklad_cylindrow,moc,nadwozie,ilosc_wyprodukowanych,ilosc_cylindrow,koniec_produkcji
"1978
","M1
","E26
","3.5-litre
",R,"204 kW (277 PS)
","Coupe
",453,6,1981
"1980
","M535i
","E12
","3.5-litre
",R,"160 kW (220 PS)
","Sedan
",1410,6,1984
"1984
","M 635 CSi
","E24
","3.5-litre
",R,"210 kW (290 PS)
","Coupe
",5859,6,1989
"1985
","M535i
","E28
","3.5-litre
",R,"160 kW (220 PS)
","Sedan
",9483,6,1988
"1985
","M5
","E28
","3.5-litre
",R,"210 kW (290 PS)
","Sedan
",2191,6,1988
"1986
","M3
","E30
","2.5-litre
",R,"175 kW (238 PS)
","Coupe
",17184,4,1991
"1986
","M3
","E30
","2.5-litre
",R ,"175 kW (238 PS)
","Cabriolet
",786,6,1991
"1988
","M5
","E34
","3.8-litre
",R,"250 kW (340 PS)
","Sedan
",11336,6,1995
"1988
","M5
","E34
","3.8-litre
",R,"250 kW (340 PS)
","Touring
",891,6,1995
"1990
","M8
","E31
","6.0-litre
",V,"410 kW (558 PS)
","Coupe
",1,12,1990
"1992
","M3
","E36
","3.2-litre
",R,"236 kW (321 PS)
","Coupe
",46881,6,1999
"1992
","M3
","E36
","3.2-litre
",R,"236 kW (321 PS)
","Sedan
",18523,6,1999
"1992
","M3
","E36
","3.2-litre
",R,"236 kW (321 PS)
","Cabriolet
",12144,6,1999
"1996
","M Roadster
","E36/7
","3.2-litre
",R,"239 kW (325 PS)
","Roadster
",15375,6,2002
"1996
","M Coupe
","E36/8
","3.2-litre
",R,"239 kW (325 PS)
","Coupe
",6291,6,2002
"1998
","M5
","E39
","5.0-litre
",V,"294 kW (400 PS)
","Sedan
",20482,8,2003
"2001
","M3
","E46
","3.2-litre
",R,"252 kW (343 PS)
","Cabriolet
",29633,6,2006
"2000
","M3
","E46
","3.2-litre
",R,"252 kW (343 PS)
","Coupe
",54750,6,2006
"2003
","M3
","E46 CSL
","3.2-litre
",R,"222 kW (360 PS)
","Coupe
",1383,6,2006
"2000
","M3
","E46 GTR
","4.0-litre
",V,"279 kW (379 PS)
","Coupe
",6,8,2006
"2005
","M5
","E60
","5.0-litre
",V,"373 kW (507 PS)
","Sedan
",19522,10,2010
"2007
","M5
","E61
","5.0-litre
",V,"373 kW (507 PS)
","Touring
",1025,10,2010
"2005
","M6
","E63
","5.0-litre
",V,"373 kW (507 PS)
","Coupe
",9087,10,2010
"2006
","M6
","E64
","5.0-litre
",V,"373 kW (507 PS)
","Cabriolet
",5065,10,2010
"2006
","Z4 M Roadster
","E85
","3.2-litre
",R,"252 kW (343 PS)
","Roadster
",507,6,2008
"2006
","Z4 M Coupé
","E86
","3.2-litre
",R,"252 kW (343 PS)
","Coupe
",4275,6,2008
"2007
","M3
","E90
","4.0-litre
",V,"309 kW (420 PS)
","Sedan
",9606,8,2013
"2007
","M3
","E92
","4.0-litre
",V,"309 kW (420 PS)
","Coupe
",39954,8,2013
"2007
","M3
","E93
","4.0-litre
",V,"309 kW (420 PS)
","Cabriolet
",16219,8,2013
2011,M3 CRT,"E90
","4.4-litre
",V,"331 kW (450 PS)
","Sedan
",68,8,2011
2010,M3 GTS,"E92
","4.4-litre
",V,"331 kW (450 PS)
","Coupe
",138,8,2010
"2011
","1M Coupe
","E82
","3.0-litre
",R,"250 kW (340 PS)
","Coupe
",6342,6,2012
"2009
","X5 M
","E70
","4.4-litre
",V,"408 kW (555 PS)
","SUV
",8974,8,2013
"2009
","X6 M
","E71
","4.4-litre
",V,"408 kW (555 PS)
","SUV
",10678,8,2014
"2011
","M5
","F10
","4.4-litre
",V,"441 kW (600 PS)
","Sedan
",19533,8,2016
"2012
","M6
","F06
","4.4-litre
",V,"441 kW (600 PS)
","Sedan
",6719,8,2018
"2012
","M6
","F12
","4.4-litre
",V,"441 kW (600 PS)
","Coupe
",4515,8,2018
"2012
","M6
","F13
","4.4-litre
",V,"441 kW (600 PS)
","Cabriolet
",4318,8,2018
"2013
","X5 M
","F85
","4.4-litre
",V,"423 kW (575 PS)
","SUV
",12915,8,2018
"2014
","M3
","F80
","3.0-litre
",R,"317 kW (431 PS)
","Sedan
",33414,6,2018
2017,"M3 CS
","F80
","3.0-litre
",R,"338 kW (460 PS)
","Sedan
",1263,6,2018
"2014
","X6 M
","F86
","4.4-litre
",V,"423 kW (575 PS)
","SUV
",9794,8,2019
