poczatek_produkcji,model,typ,pojemnosc_silnika,uklad_cylindrow,moc,nadwozie,ilosc_wyprodukowanych,ilosc_cylindrow,koniec_produkcji
1978,M1,E26,3.5,R,277,Coupe,453,6,1981
1980,M535i,E12,3.5,R,220,Sedan,1410,6,1984
1984,M 635 CSi,E24,3.5,R,290,Coupe,5859,6,1989
1985,M535i,E28,3.5,R,220,Sedan,9483,6,1988
1985,M5,E28,3.5,R,290,Sedan,2191,6,1988
1986,M3,E30,2.5,R,238,Coupe,17184,4,1991
1986,M3,E30,2.5,R,238,Cabriolet,786,6,1991
1988,M5,E34,3.8,R,340,Sedan,11336,6,1995
1988,M5,E34,3.8,R,340,Touring,891,6,1995
1990,M8,E31,6.0,V,558,Coupe,1,12,1990
1992,M3,E36,3.2,R,321,Coupe,46881,6,1999
1992,M3,E36,3.2,R,321,Sedan,18523,6,1999
1992,M3,E36,3.2,R,321,Cabriolet,12144,6,1999
1996,M Roadster,E36/7,3.2,R,325,Roadster,15375,6,2002
1996,M Coupe,E36/8,3.2,R,325,Coupe,6291,6,2002
1998,M5,E39,5.0,V,400,Sedan,20482,8,2003
2001,M3,E46,3.2,R,343,Cabriolet,29633,6,2006
2000,M3,E46,3.2,R,343,Coupe,54750,6,2006
2003,M3,E46 CSL,3.2,R,360,Coupe,1383,6,2006
2000,M3,E46 GTR,4.0,V,379,Coupe,6,8,2006
2005,M5,E60,5.0,V,507,Sedan,19522,10,2010
2007,M5,E61,5.0,V,507,Touring,1025,10,2010
2005,M6,E63,5.0,V,507,Coupe,9087,10,2010
2006,M6,E64,5.0,V,507,Cabriolet,5065,10,2010
2006,Z4 M Roadster,E85,3.2,R,343,Roadster,507,6,2008
2006,Z4 M Coupe,E86,3.2,R,343,Coupe,4275,6,2008
2007,M3,E90,4.0,V,420,Sedan,9606,8,2013
2007,M3,E92,4.0,V,420,Coupe,39954,8,2013
2007,M3,E93,4.0,V,420,Cabriolet,16219,8,2013
2011,M3 CRT,E90,4.4,V,450,Sedan,68,8,2011
2010,M3 GTS,E92,4.4,V,450,Coupe,138,8,2010
2011,1M Coupe,E82,3.0,R,340,Coupe,6342,6,2012
2009,X5 M,E70,4.4,V,555,SUV,8974,8,2013
2009,X6 M,E71,4.4,V,555,SUV,10678,8,2014
2011,M5,F10,4.4,V,560,Sedan,19533,8,2016
2012,M6,F06,4.4,V,560,Sedan,6719,8,2018
2012,M6,F12,4.4,V,560,Coupe,4515,8,2018
2012,M6,F13,4.4,V,560,Cabriolet,4318,8,2018
2013,X5 M,F85,4.4,V,575,SUV,12915,8,2018
2014,M3,F80,3.0,R,431,Sedan,33414,6,2018
2017,M3 CS,F80,3.0,R,460,Sedan,1263,6,2018
2014,X6 M,F86,4.4,V,575,SUV,9794,8,2019
1971,CSL,E09,3.0,R,200,Coupe,1265,6,1975
1974,2002 Turbo,E20,2.0,R,170,Coupe,1672,4,1975
1984,745i SA (M88),E23,4.4,V,286,Sedan,249,8,1987
1984,M635CSi,E24,3.5,R,260,Coupe,5885,6,1988
